p	c	v
1	25038.766	40
2		
3		
4		
5		
6		
7		
8		
9	41390.137	40
10		
11		
12		
13		
14		
15		
16		
17	50892.701	40
18		
19		
20		
21		
22		
23		
24		
25	43138.046	40
26		
27		
28		
29		
30		
31		
32		
33	36868.482	40
34		
35		
36		
37		
38		
39		
40		
41	34182.955	40
42		
43		
44		
45		
46		
47		
48		
49	28818.411	40
50		
51		
52		
53		
54		
55		
56		
57	40730.388	40
58		
59		
60		
61		
62		
63		
64		
65	45335.773	40
66		
67		
68		
69		
70		
71		
72		
73	26397.276	40
74		
75		
76		
77		
78		
79		
80		
81	31967.542	40
82		
83		
84		
85		
86		
87		
88		
89	36027.062	40
90		
91		
92		
93		
94		
95		
96		
